,station_train_code,train_no,train_type,train_code,from_station,from_station_name,to_station,to_station_name,from_station_telecode,to_station_telecode
7703,4742(邓州-南阳),40000047420A,O,4742,邓州,邓州,南阳,南阳,DOF,NFF
7704,4744(邓州-南阳),400000474403,O,4744,邓州,邓州,南阳,南阳,DOF,NFF
7705,4746(邓州-南阳),400000474602,O,4746,邓州,邓州,南阳,南阳,DOF,NFF
7706,4811(宜昌东-恩施),420000481105,O,4811,宜昌东,宜昌东,恩施,恩施,HAN,ESN
7707,4812(恩施-宜昌东),420000481204,O,4812,恩施,恩施,宜昌东,宜昌东,ESN,HAN
7708,5001(济南东-陵城),470000500102,O,5001,济南东,济南东,陵城,陵城,JAK,LGK
7709,5002(陵城-济南),4k0000500302,O,5002,陵城,陵城,济南,济南,LGK,JNK
7710,5003(陵城-济南),4k0000500302,O,5003,陵城,陵城,济南,济南,LGK,JNK
7711,5004(济南东-陵城),470000500102,O,5004,济南东,济南东,陵城,陵城,JAK,LGK
7712,5005(枣庄西-临沂),470000500500,O,5005,枣庄西,枣庄西,临沂,临沂,ZFK,LVK
7713,5006(临沂-枣庄西),470000500601,O,5006,临沂,临沂,枣庄西,枣庄西,LVK,ZFK
7714,5007(枣庄西-日照),470000500710,O,5007,枣庄西,枣庄西,日照,日照,ZFK,RZK
7715,5008(日照-枣庄西),470000500810,O,5008,日照,日照,枣庄西,枣庄西,RZK,ZFK
7716,5013(菏泽-青岛),470000501620,O,5013,菏泽,菏泽,青岛,青岛,HIK,QDK
7717,5014(烟台-菏泽),490000501401,O,5014,烟台,烟台,菏泽,菏泽,YAK,HIK
7718,5015(烟台-菏泽),490000501401,O,5015,烟台,烟台,菏泽,菏泽,YAK,HIK
7719,5016(菏泽-青岛),470000501620,O,5016,菏泽,菏泽,青岛,青岛,HIK,QDK
7720,5017(曹县-烟台),47000050200L,O,5017,曹县,曹县,烟台,烟台,CXK,YAK
7721,5018(烟台-曹县),490000501820,O,5018,烟台,烟台,曹县,曹县,YAK,CXK
7722,5019(烟台-曹县),490000501820,O,5019,烟台,烟台,曹县,曹县,YAK,CXK
7723,5020(曹县-烟台),47000050200L,O,5020,曹县,曹县,烟台,烟台,CXK,YAK
7724,5021(曹县-青岛),47000050240E,O,5021,曹县,曹县,青岛,青岛,CXK,QDK
7725,5022(青岛-曹县),49000050220D,O,5022,青岛,青岛,曹县,曹县,QDK,CXK
7726,5023(青岛-曹县),49000050220D,O,5023,青岛,青岛,曹县,曹县,QDK,CXK
7727,5024(曹县-青岛),47000050240E,O,5024,曹县,曹县,青岛,青岛,CXK,QDK
7728,5025(曹县-青岛),470000502850,O,5025,曹县,曹县,青岛,青岛,CXK,QDK
7729,5026(青岛-曹县),490000502640,O,5026,青岛,青岛,曹县,曹县,QDK,CXK
7730,5027(青岛-曹县),490000502640,O,5027,青岛,青岛,曹县,曹县,QDK,CXK
7731,5028(曹县-青岛),470000502850,O,5028,曹县,曹县,青岛,青岛,CXK,QDK
7732,5035(青岛-枣庄西),490000503820,O,5035,青岛,青岛,枣庄西,枣庄西,QDK,ZFK
7733,5036(枣庄西-烟台),47000050360E,O,5036,枣庄西,枣庄西,烟台,烟台,ZFK,YAK
7734,5037(枣庄西-烟台),47000050360E,O,5037,枣庄西,枣庄西,烟台,烟台,ZFK,YAK
7735,5038(青岛-枣庄西),490000503820,O,5038,青岛,青岛,枣庄西,枣庄西,QDK,ZFK
7736,5039(威海-菏泽),490000504210,O,5039,威海,威海,菏泽,菏泽,WKK,HIK
7737,5040(菏泽-威海),470000504010,O,5040,菏泽,菏泽,威海,威海,HIK,WKK
7738,5041(菏泽-威海),470000504010,O,5041,菏泽,菏泽,威海,威海,HIK,WKK
7739,5042(威海-菏泽),490000504210,O,5042,威海,威海,菏泽,菏泽,WKK,HIK
7740,5505(桂林北-茂名西),710000550509,O,5505,桂林北,桂林北,茂名西,茂名西,GBZ,MMZ
7741,5506(茂名西-桂林北),71000055060C,O,5506,茂名西,茂名西,桂林北,桂林北,MMZ,GBZ
7742,5511(南宁-凭祥),710000551107,O,5511,南宁,南宁,凭祥,凭祥,NNZ,PXZ
7743,5512(凭祥-南宁),710000551207,O,5512,凭祥,凭祥,南宁,南宁,PXZ,NNZ
7744,5517(南宁-凭祥),710000551709,O,5517,南宁,南宁,凭祥,凭祥,NNZ,PXZ
7745,5518(凭祥-南宁),710000551809,O,5518,凭祥,凭祥,南宁,南宁,PXZ,NNZ
7746,5537(金城江-湛江),71000055400H,O,5537,金城江,金城江,湛江,湛江,JJZ,ZJZ
7747,5538(湛江-金城江),71000055380I,O,5538,湛江,湛江,金城江,金城江,ZJZ,JJZ
7748,5539(湛江-金城江),71000055380I,O,5539,湛江,湛江,金城江,金城江,ZJZ,JJZ
7749,5540(金城江-湛江),71000055400H,O,5540,金城江,金城江,湛江,湛江,JJZ,ZJZ
7750,5609(重庆北-秀山),77000056090X,O,5609,重庆北,重庆北,秀山,秀山,CUW,ETW
